row_key,CLM_ID,injection_type
batch-3-R000000,BATCH-3-CLM-0000000,none
batch-3-R000001,BATCH-3-CLM-0000001,none
batch-3-R000002,BATCH-3-CLM-0000002,none
batch-3-R000003,BATCH-3-CLM-0000003,none
batch-3-R000004,BATCH-3-CLM-0000004,none
batch-3-R000005,BATCH-3-CLM-0000005,none
batch-3-R000006,BATCH-3-CLM-0000006,none
batch-3-R000007,BATCH-3-CLM-0000007,none
batch-3-R000008,BATCH-3-CLM-0000008,none
batch-3-R000009,BATCH-3-CLM-0000009,none
batch-3-R000010,BATCH-3-CLM-0000010,none
batch-3-R000011,BATCH-3-CLM-0000011,none
batch-3-R000012,BATCH-3-CLM-0000012,none
batch-3-R000013,BATCH-3-CLM-0000013,none
batch-3-R000014,BATCH-3-CLM-0000014,none
batch-3-R000015,BATCH-3-CLM-0000015,none
batch-3-R000016,BATCH-3-CLM-0000016,none
batch-3-R000017,BATCH-3-CLM-0000017,none
batch-3-R000018,BATCH-3-CLM-0000018,none
batch-3-R000019,BATCH-3-CLM-0000019,none
batch-3-R000020,BATCH-3-CLM-0000020,none
batch-3-R000021,BATCH-3-CLM-0000021,none
batch-3-R000022,BATCH-3-CLM-0000022,none
batch-3-R000023,BATCH-3-CLM-0000023,none
batch-3-R000024,BATCH-3-CLM-0000024,none
batch-3-R000025,BATCH-3-CLM-0000025,none
batch-3-R000026,BATCH-3-CLM-0000026,none
batch-3-R000027,BATCH-3-CLM-0000027,none
batch-3-R000028,BATCH-3-CLM-0000028,none
batch-3-R000029,BATCH-3-CLM-0000029,none
batch-3-R000030,BATCH-3-CLM-0000030,none
batch-3-R000031,BATCH-3-CLM-0000031,none
batch-3-R000032,BATCH-3-CLM-0000032,none
batch-3-R000033,BATCH-3-CLM-0000033,none
batch-3-R000034,BATCH-3-CLM-0000034,none
batch-3-R000035,BATCH-3-CLM-0000035,none
batch-3-R000036,BATCH-3-CLM-0000036,none
batch-3-R000037,BATCH-3-CLM-0000037,none
batch-3-R000038,BATCH-3-CLM-0000038,none
batch-3-R000039,BATCH-3-CLM-0000039,none
batch-3-R000040,BATCH-3-CLM-0000040,none
batch-3-R000041,BATCH-3-CLM-0000041,none
batch-3-R000042,BATCH-3-CLM-0000042,none
batch-3-R000043,BATCH-3-CLM-0000043,none
batch-3-R000044,BATCH-3-CLM-0000044,none
batch-3-R000045,BATCH-3-CLM-0000045,none
batch-3-R000046,BATCH-3-CLM-0000046,none
batch-3-R000047,BATCH-3-CLM-0000047,none
batch-3-R000048,BATCH-3-CLM-0000048,none
batch-3-R000049,BATCH-3-CLM-0000049,none
batch-3-R000050,BATCH-3-CLM-0000050,none
batch-3-R000051,BATCH-3-CLM-0000051,none
batch-3-R000052,BATCH-3-CLM-0000052,none
batch-3-R000053,BATCH-3-CLM-0000053,none
batch-3-R000054,BATCH-3-CLM-0000054,none
batch-3-R000055,BATCH-3-CLM-0000055,none
batch-3-R000056,BATCH-3-CLM-0000056,none
batch-3-R000057,BATCH-3-CLM-0000057,none
batch-3-R000058,BATCH-3-CLM-0000058,none
batch-3-R000059,BATCH-3-CLM-0000059,none
batch-3-R000060,BATCH-3-CLM-0000060,none
batch-3-R000061,BATCH-3-CLM-0000061,none
batch-3-R000062,BATCH-3-CLM-0000062,none
batch-3-R000063,BATCH-3-CLM-0000063,none
batch-3-R000064,BATCH-3-CLM-0000064,none
batch-3-R000065,BATCH-3-CLM-0000065,none
batch-3-R000066,BATCH-3-CLM-0000066,none
batch-3-R000067,BATCH-3-CLM-0000067,none
batch-3-R000068,BATCH-3-CLM-0000068,none
batch-3-R000069,BATCH-3-CLM-0000069,none
batch-3-R000070,BATCH-3-CLM-0000070,none
batch-3-R000071,BATCH-3-CLM-0000071,none
batch-3-R000072,BATCH-3-CLM-0000072,none
batch-3-R000073,BATCH-3-CLM-0000073,none
batch-3-R000074,BATCH-3-CLM-0000074,none
batch-3-R000075,BATCH-3-CLM-0000075,none
batch-3-R000076,BATCH-3-CLM-0000076,none
batch-3-R000077,BATCH-3-CLM-0000077,none
batch-3-R000078,BATCH-3-CLM-0000078,none
batch-3-R000079,BATCH-3-CLM-0000079,none
batch-3-R000080,BATCH-3-CLM-0000080,none
batch-3-R000081,BATCH-3-CLM-0000081,none
batch-3-R000082,BATCH-3-CLM-0000082,none
batch-3-R000083,BATCH-3-CLM-0000083,none
batch-3-R000084,BATCH-3-CLM-0000084,none
batch-3-R000085,BATCH-3-CLM-0000085,none
batch-3-R000086,BATCH-3-CLM-0000086,none
batch-3-R000087,BATCH-3-CLM-0000087,none
batch-3-R000088,BATCH-3-CLM-0000088,none
batch-3-R000089,BATCH-3-CLM-0000089,none
batch-3-R000090,BATCH-3-CLM-0000090,none
batch-3-R000091,BATCH-3-CLM-0000091,none
batch-3-R000092,BATCH-3-CLM-0000092,none
batch-3-R000093,BATCH-3-CLM-0000093,none
batch-3-R000094,BATCH-3-CLM-0000094,none
batch-3-R000095,BATCH-3-CLM-0000095,none
batch-3-R000096,BATCH-3-CLM-0000096,none
batch-3-R000097,BATCH-3-CLM-0000097,none
batch-3-R000098,BATCH-3-CLM-0000098,none
batch-3-R000099,BATCH-3-CLM-0000099,none
